 A beleza da tua santidade; 6656
 A Cristo coroai ; 6626
 A Deus demos glória ; 6647
 A Deus seja o louvor; 6640
 A igreja que ora é vitoriosa ; 9991
 A Jesus irei louvar ; 9949
 A Jesus seja dada toda glória ; 7788
 A lei do Senhor é perfeita ; 4421
 A luz do mundo ; 2298
 A meu Senhor ; 35
 A minh’alma engrandece ; 6658
 A minh’alma estava longe do caminho do céu ; 2207
 A minha alegria ; 2304
 A minha herança ; 4441
 A minha herança é o Senhor ; 2293
 A minha vida entrego ; 4469
 A minha vida tão vazia ; 2213
 A minh'alma está cheia de paz ; 8800-B
 A noiva amada do Cordeiro ; 9994
 A noiva é a igreja ; 8823
 A nova do evangelho ; 1192
 A obra do Senhor é perfeita ; 4440
 A paz que tu procuras ; 1156
 A teus pés, Jesus ; 6610
 A ti, que habitas entre os querubins ; 7780
 A tua justiça ; 4470
 A tua palavra ; 4466
 A tua palavra é semente ; 9946
 A última trombeta soará ; 7773
 A vida de minh’alma ; 8803
 A vida no mundo é cruel ; 3326
 A vida, a vida é Jesus ; 8802-B
 Abba Pai ; 4413
 Abre a porta do teu coração ; 1126
 Acabou-se o tempo da derrota ; 21
 Achei salvação ; 2221
 Adorarei ; 6602
 Adorar-te ; 6655
 Agradecidos somos a ti ; 9029
 Ainda que a figueira ; 3354
 Ainda que os seus sonhos ; 1190
 Aleluia (Salmo 113) ; 7703
 Aleluia! Muitas vozes de anjos ; 6625
 Além do céu azul ; 5561
 Além do véu eu quero estar ; 41
 Alerta povo, está chegando a nossa hora ; 5535
 Amo ao meu Senhor ; 2285
 Amo ao Senhor ; 7701
 Amo ao Senhor de todo o meu coração ; 4424
 Amo ao Senhor porque ele me ouviu ; 2231
 Amor, que por amor desceste! ; 7802
 Ao chegar ao céu gozo eu terei ; 5547
 Ao Cordeiro ; 6623
 Ao Deus de Abraão louvai ; 7804
 Ao Deus de amor e de imensa bondade ; 6649
 Ao lado de Deus ; 5569
 Ao lado de Jesus eu quero estar ; 5568
 Ao poço de Jacó chegou Jesus ; 1133
 Ao que está no trono ; 6634
 Ao sentir o teu perdão ; 46
 Aquele que tem os meus mandamentos ; 4422
 Aquilo que fui não sou mais ; CONTRA CAPA
 Ardendo em fogo minh’alma está ; 4461
 ArRebatado fui no dia do Senhor ; 5567
 As lágrimas falam ; 3387
 As muitas águas ; 2255
 As muitas águas não poderiam apagar ; 7795
 As riquezas do mundo ; 2219
 As tuas mãos dirigem meu destino ; 2307
 Às vezes, alguém me pergunta ; 2243
 Assim como a noite espera pelo dia ; 5504
 Atende a voz do meu clamor ; 552
 Atende, Senhor, a minha oração ; 579
 Atua em nosso meio ; 3341
 Basta dizeres o que queres ; 7759
 Basta que me toques, Senhor ; 3310
 Bem de manhã, embora o céu sereno ; 554
 Bendito seja o Cordeiro ; 22
 Bendize, ó minh’alma, ao Senhor ; 7711
 Bendizei ao Senhor ; 7721
 Bom é louvar ao Senhor ; 7704
 Bom é o Senhor; 3330
 Breve no céu Jesus há de aparecer ; 5533
 Breve voltará o Messias ; 5560
 Brilhe sobre mim ; 558
 Buscou-me com ternura ; 2200
 Cada dia que eu vejo o sol ; 3304
 Cada instante ; 576
 Canta alegremente, ó filha de Sião ; 3393
 Cantai alegremente a Deus ; 9959
 Cantai ao Senhor um cântico novo ; 7709
 Cantai, ó igreja ; 5576
 Cantarei a bondade e a justiça; 4408
 Cantarei a misericórdia ; 4407
 Cantarei ao amor dos amores ; 6613
 Cantarei ao meu Senhor enquanto eu viver ; 6651
 Cantarei, cantarei as misericórdias ; 2223
 Cantarei, cantarei hosana; 6630
 Castelo forte ; 3355
 Celebrai com júbilo ao Senhor ; 7712
 Certa vez eu orando; 549
 Certa vez, ao orar ; 5512
 Certo homem tão nobre ; 1117
 Chegou o tempo de pensar; 5506
 Cheguemos ao altar de Deus ; 6600
 Chuvas de bênçãos teremos ; 4476
 Clamando estou; 5
 Clamarei, clamarei ; 15
 Clamo a ti ; 3
 Clamo, ó Senhor, pelo sangue de Jesus ; 9904
 Clamo, ó Senhor, por teu sangue ; 9903
 Com Cristo no barco ; 9909
 Comigo habita, ó Deus! ; 7805
 Como a flor do campo ; 2287
 Como as águas ; 550
 Como Cristo ensinou; 4449
 Como desistir deste grande amor? ; 2222
 Como é bom deixar este mundo ; 8801-F
 Como é bom saber ; 9930
 Como é bom servir ao Senhor ; 2303
 Como é bom te adorar ; 6601
 Como foi para o céu, Jesus Cristo há de vir ; 5517
 Como tu queres ; 4420
 Como um bom Pastor ; 1168
 Como uma folha ao vento ; 9980
 Confio em Deus ; 3359
 Conforme a tua infinita graça ; 44
 Consolai, consolai o meu povo; 3340
 Consola-me, Espírito Santo ; 9951
 Cordeiro eterno ; 27
 Coroai ; 7769
 Cortaram o madeiro ; 1113
 Cria em mim, ó Deus ; 9920
 Cristo caminhava em direção à cruz ; 1115
 Cristo caminhava lentamente ; 1170
 Cristo é a resposta ; 8805
 Cristo é a rosa mais bela ; 2274
 Cristo é meu amigo, é meu amigo ; 9952
 Cristo é meu, sim, Cristo é meu ; 2228
 Cristo é o Senhor ; 9941
 Cristo é tudo para mim ; 2264
 Cristo é vitória ; 9924
 Cristo já nos preparou ; 4450
 Cristo já ressuscitou; 7801
 Cristo Jesus é o meu bom Salvador ; 2268
 Cristo me dará ; 3372
 Cristo sente amor por mim ; 9933
 Cristo vem me buscar; 5522
 Cristo, meu bom Mestre ; 9958
 Cristo, meu Mestre, sempre há de amar-me ; 2259
 Cristo, nome mais alto ; 2270
 Crucificado foi meu Jesus ; 36
 Da igreja o fundamento é Cristo (A Pedra Fundamental) ; 7803
 Da linda pátria ; 5582
 Dai glória a Deus ; 6646
 Dá-me mais fé ; 3385
 Das maravilhas que a Bíblia contém ; 9935
 Das profundezas ; 4400
 Das profundezas a ti clamo, ó Senhor ; 3300
 Das profundezas clamo a ti, ó Senhor! ; 7766
 De madrugada eu busco a face do Senhor ; 560
 Deixa a glória de Deus brilhar ; 8820
 Deixa Deus falar ao teu coração ; 1143
 Deixa-me chorar; 3371
 Deixou o esplendor de sua glória ; 1119
 Deleita-te também no Senhor ; 3362
 Dependo de ti, Senhor ; 4414
 Derramarei meu Espírito ; 4459
 Desceu da sua glória ; 1110
 Desde o dia em que aceitei Jesus ; 8800-A
 Desde o dia em que te conheci ; 2294
 Desejei ardentemente ; 4464
 Desfaço as tuas transgressões ; 7
 Deus amou o mundo de tal maneira ; 1108
 Deus conhece a tua vida ; 1175
 Deus criou os céus e a terra ; 9013
 Deus cuida de ti; 3346
 Deus da minha salvação ; 2205
 Deus dos antigos ; 7763
 Deus dos exércitos de Israel ; 6641
 Deus é contigo ; 3338
 Deus é nosso amparo, nossa fortaleza ; 3380
 Deus é nosso auxílio ; 3379
 Deus enviou seu Filho amado ; 1107
 Deus enviou seu Filho pra nos salvar ; 1112
 Deus está aqui ; 577
 Deus está no templo ; 567
 Deus está presente aqui neste lugar ; 1169
 Deus está presente entre pecadores como nós ; 573
 Deus está presente sempre pronto a nos ajudar ; 3333
 Deus falou comigo ; 9005
 Deus forte como Jeová ; 9923
 Deus habita no meio dos louvores ; 9007
 Deus hoje quer te falar ; 1138
 Deus o seu Filho enviou ; 1109
 Deus proverá ; 3383
 Deus te guardará ; 3352
 Diante de ti ; 2257
 Digno é Jesus ; 6659
 Dirige-me, Senhor ; 4465
 Dispõe-te, resplandece ; 7770
 Divino companheiro ; 3350
 do norte vem o áureo esplendor ; 5509
 do pão do céu ; 9905
 Dois discípulos no caminho de Emaús ; 1116
 Dons do Espírito Santo ; 9955
 Dormindo no meu leito (Jerusalém, cidade santa) ; 7806
 É bastante para mim a tua graça ; 2282
 É bom, é bom demais ; 9914
 É Deus quem nos tem dado a vitória ; 8814
 É isto que me faz cantar ; 8800-E
 É Jesus das criancinhas ; 9942
 É o amor de Deus ; 2262
 É preciso confiar e buscar a Deus ; 566
 É somente teu meu coração ; 9940
 É tão triste não ver a luz ; 9023
 É tempo, é tempo ; 4479
 É teu sangue ; 47
 Eis a escrava resgatada ; 7784
 Eis aí o dia aceitável ; 3342
 Eis marchamos para aquele bom país ; 4428
 Eis mensagem do Senhor ; 1141
 Eis o Cordeiro de Deus ; 24
 Eis o estandarte ; 3314
 Eis que estou à porta ; 1125
 Eis que estou à porta e bato ; 7775
 Eis que Jesus vem nas nuvens ; 9971
 Eis que surge um povo forte ; 4427
